name,corpus,original_language,era,batch,source_family,source_unit,min_independent_sources,notes,photo_url,profile,style_traits
Jacinda Ardern,rhetorical,en,21c,expand_rhetorical_commonwealth,official speeches,speech_or_document,3,original English public rhetoric only,,New Zealand former prime minister; known for crisis communication and wellbeing-oriented governance,"empathetic, calm, communal, quietly resolute"
Anthony Albanese,rhetorical,en,21c,expand_rhetorical_commonwealth,official speeches,speech_or_document,3,original English public rhetoric only,,Australian prime minister and Labor politician; longtime advocate of working-class social democracy,"plainspoken, collegial, union-rooted, incremental"
Adolf Hitler,rhetorical,de,20c,expand_rhetorical_multilingual,German speech archive,speech_or_document,3,German originals only,,German dictator and Nazi leader; responsible for World War II in Europe and the Holocaust,"demagogic, apocalyptic, conspiratorial, violently absolutist"
Angela Merkel,rhetorical,de,21c,expand_rhetorical_multilingual,official German speeches,speech_or_document,3,German originals only,,German chancellor; central European leader during the euro and migration crises,"deliberate, technical, pragmatic, understated"
Olaf Scholz,rhetorical,de,21c,expand_rhetorical_multilingual,official German speeches,speech_or_document,3,German originals only,,German politician and former chancellor; led the coalition response to Russia's invasion of Ukraine,"terse, lawyerly, cautious, technocratic"
Emmanuel Macron,rhetorical,fr,21c,expand_rhetorical_multilingual,official French speeches,speech_or_document,3,French originals only,,French president and former economy minister; pro-European reformer,"rhetorical, technocratic, ambitious, cerebral"
Charles de Gaulle,rhetorical,fr,20c,expand_rhetorical_multilingual,French speech archive,speech_or_document,3,French originals only,,"French general, statesman, and founder of the Fifth Republic; leader of Free France","monumental, sovereignist, austere, historically grand"
Francois Mitterrand,rhetorical,fr,20c,expand_rhetorical_multilingual,French speech archive,speech_or_document,3,French originals only,,French president and Socialist statesman; advanced European integration and major domestic reforms,"literary, enigmatic, republican, ceremonially controlled"
Pope Francis,rhetorical,it,21c,expand_rhetorical_multilingual,Vatican source texts,speech_or_document,3,Italian originals unless speech delivered in another source language,,Argentine pope and Catholic reform voice; Laudato si' and social-justice advocacy,"pastoral, humble, compassionate, direct"
Pope Benedict XVI,rhetorical,de,21c,expand_rhetorical_multilingual,Vatican source texts,speech_or_document,3,German originals unless speech delivered in another source language,,German theologian and pope; author of major works on Christian doctrine and faith,"scholastic, contemplative, precise, tradition-conscious"
Pope John Paul II,rhetorical,pl,20c_21c,expand_rhetorical_multilingual,Vatican source texts,speech_or_document,3,Polish originals unless speech delivered in another source language,,Polish pope and philosopher; global Catholic leader influential in opposition to communist rule,"pilgrimage-minded, philosophical, exhortative, human-dignity centered"
Fidel Castro,rhetorical,es,20c_21c,expand_rhetorical_multilingual,Spanish speech archive,speech_or_document,3,Spanish originals only,,Cuban revolutionary and longtime leader; central figure in Cold War socialism and one-party rule,"marathon, anti-imperialist, didactic, improvisational"
Salvador Allende,rhetorical,es,20c,expand_rhetorical_multilingual,Spanish speech archive,speech_or_document,3,Spanish originals only,,Chilean socialist president; pursued democratic structural reform before the 1973 military coup,"solemn, constitutional, class-conscious, valedictory"
Hugo Chavez,rhetorical,es,20c_21c,expand_rhetorical_multilingual,Spanish speech archive,speech_or_document,3,Spanish originals only,,Venezuelan president and military officer; founder of Bolivarian socialist rule,"folksy, theatrical, confrontational, plebiscitary"
Greta Thunberg,rhetorical,en,21c,expand_rhetorical_public_figures,official speeches,speech_or_document,3,collect only speeches originally delivered in English,,Swedish climate activist; global youth climate-movement organizer,"urgent, stark, uncompromising, moral"
Malala Yousafzai,rhetorical,en,21c,expand_rhetorical_public_figures,official speeches,speech_or_document,3,collect only speeches originally delivered in English,,Pakistani education activist; Nobel Peace Prize and girls' education advocate,"clear, courageous, hopeful, resolute"
Mahatma Gandhi,rhetorical,en,20c,expand_rhetorical_2026_07,Project Gutenberg,speech_or_document,3,English-original essays and speeches only,,Indian independence leader; nonviolent resistance and swaraj; wrote extensively in English,"plain, moral, patient, disarming"
Rabindranath Tagore,rhetorical,en,20c,expand_rhetorical_2026_07,Project Gutenberg,speech_or_document,3,English-original lectures and essays; self-translated poetry is author-rendered but flagged,,Bengali polymath and first Asian Nobel laureate; English lectures on nationalism and personality,"lyrical, contemplative, universalist, serene"
Swami Vivekananda,rhetorical,en,19c,expand_rhetorical_2026_07,Project Gutenberg,speech_or_document,3,English-delivered lectures only; single PG source so exploratory,,Indian monk who introduced Vedanta to the West; 1893 Chicago address,"exhortative, fiery, spiritual, direct"
Frederick Douglass,rhetorical,en,19c,expand_rhetorical_2026_07,Project Gutenberg,speech_or_document,3,original English speeches and autobiographical prose,,American abolitionist and orator; escaped slavery to become a leading public voice,"searing, cadenced, indicting, dignified"
Booker T. Washington,rhetorical,en,19c_20c,expand_rhetorical_2026_07,Project Gutenberg,speech_or_document,3,original English addresses and prose,,"American educator and orator; Up from Slavery, Atlanta Exposition address","pragmatic, anecdotal, conciliatory, industrious"
Robert G. Ingersoll,rhetorical,en,19c,expand_rhetorical_2026_07,Project Gutenberg,speech_or_document,3,original English lectures,,American lawyer and orator; the Great Agnostic of the Gilded Age lecture circuit,"eloquent, irreverent, humane, rolling"
Emmeline Pankhurst,rhetorical,en,20c,expand_rhetorical_2026_07,Project Gutenberg,speech_or_document,3,original English rhetoric; single PG source so exploratory,,British suffragette leader; militant campaign for women's votes,"defiant, urgent, disciplined, rallying"
Victor Hugo,rhetorical,fr,19c,expand_rhetorical_2026_07,Project Gutenberg,speech_or_document,3,French speeches (Actes et Paroles) only,,"French Romantic titan; Les Misérables, Notre-Dame de Paris; also a monumental political orator","oceanic, antithetical, visionary, declamatory"
Sun Yat-sen,rhetorical,zh,20c,expand_rhetorical_2026_07,Chinese Wikisource,speech_or_document,3,Chinese originals only,,Founding father of the Republic of China; Three Principles of the People lectures,"programmatic, exhortative, nation-building, didactic"
Liang Qichao,rhetorical,zh,19c_20c,expand_rhetorical_2026_07,Chinese Wikisource,speech_or_document,3,Chinese originals only,,Late-Qing reformer and essayist; New Citizen essays; father of modern Chinese journalism,"torrential, exhortative, neologistic, galvanizing"
Cai Yuanpei,rhetorical,zh,20c,expand_rhetorical_2026_07,Chinese Wikisource,speech_or_document,3,Chinese originals only; two verified sources so exploratory,,Educator and president of Peking University; aesthetic education advocate,"measured, liberal, scholarly, reform-minded"
Alessandro Manzoni,literary,it,19c,gutenberg_indexed_2026_07,Project Gutenberg,work,3,Italian originals only,,"Italian novelist and poet; The Betrothed, Sacred Hymns; architect of modern historical fiction and national prose","providential, civic-minded, lucidly historical, morally panoramic"
Alfredo Panzini,literary,it,19c_20c,gutenberg_indexed_2026_07,Project Gutenberg,work,3,Italian originals only,,"Italian novelist and lexicographer; La lanterna di Diogene, Il padrone sono me; ironic chronicler of technological modernity","wryly antiquarian, conversational, bicycle-paced, modernity-skeptical"
Algernon Blackwood,literary,en,20c,gutenberg_indexed_2026_07,Project Gutenberg,work,3,original English prose,,"English supernatural-fiction writer and broadcaster; The Willows, The Wendigo; pioneer of ecological and cosmic horror","numinous, forest-haunted, slow-creeping, cosmically porous"
Alice Brown,literary,en,19c_20c,gutenberg_indexed_2026_07,Project Gutenberg,work,3,original English prose,,"American novelist and short-story writer; Meadow-Grass, Tiverton Tales; New England regional portraiture","hearthside, flinty, village-grained, quietly compassionate"
Ambrose Bierce,literary,en,19c_20c,gutenberg_indexed_2026_07,Project Gutenberg,work,3,original English prose,,"American short-story writer and journalist; The Devil's Dictionary, An Occurrence at Owl Creek Bridge; master of war horror and black satire","acid-cut, fatalistic, battlefield-cold, sting-in-the-tail"
Anna Katharine Green,literary,en,19c_20c,gutenberg_indexed_2026_07,Project Gutenberg,work,3,original English prose,,"American detective novelist; The Leavenworth Case, The Filigree Ball; foundational architect of clue-driven mystery fiction","clue-latticed, decorous, procedural, parlor-tense"
Annie Vivanti,literary,it,19c_20c,gutenberg_indexed_2026_07,Project Gutenberg,work,3,Italian originals only,,"Italian-British novelist and poet; The Devourers, Marion; cosmopolitan explorer of women, art, and ambition","cosmopolitan, fever-bright, maternal, stage-lit"
Anthony Hope,literary,en,19c_20c,gutenberg_indexed_2026_07,Project Gutenberg,work,3,original English prose,,"English novelist and playwright; The Prisoner of Zenda, Rupert of Hentzau; defining voice of Ruritanian romance","sword-brisk, courtly, conspiratorial, velvet-cloaked"
Arnold Bennett,literary,en,19c_20c,gutenberg_indexed_2026_07,Project Gutenberg,work,3,original English prose,,"English novelist and journalist; The Old Wives' Tale, Clayhanger; panoramic realist of the industrial Five Towns","observant, time-weathered, provincial-cinematic, materially exact"
Arthur Machen,literary,en,19c_20c,gutenberg_indexed_2026_07,Project Gutenberg,work,3,original English prose,,"Welsh author and mystic; The Great God Pan, The Hill of Dreams; fin-de-siècle visionary of occult London","occult, labyrinthine, sacramental, dream-corroded"
Booth Tarkington,literary,en,19c_20c,gutenberg_indexed_2026_07,Project Gutenberg,work,3,original English prose,,"American novelist and two-time Pulitzer winner; The Magnificent Ambersons, Alice Adams; chronicler of class and urban change","nostalgic, socially barbed, boulevard-sweeping, status-alert"
Charles Reade,literary,en,19c,gutenberg_indexed_2026_07,Project Gutenberg,work,3,original English prose,,"English novelist and dramatist; The Cloister and the Hearth, Hard Cash; documentary-minded advocate of social reform","melodramatic, dossier-rich, reformist, propulsively indignant"
Clara Viebig,literary,de,19c_20c,gutenberg_indexed_2026_07,Project Gutenberg,work,3,German originals only,,"German naturalist novelist; Das Weiberdorf, Das schlafende Heer; unsparing interpreter of Rhineland and Eifel communities","earthbound, communal, weather-beaten, naturalistically severe"
Concha Espina,literary,es,19c_20c,gutenberg_indexed_2026_07,Project Gutenberg,work,3,Spanish originals only,,"Spanish novelist and National Literature Prize recipient; La esfinge maragata, Altar mayor; lyrical regionalist of women's constrained lives","mountain-lyric, devoutly shadowed, intimate, fate-bound"
Denis Diderot,literary,fr,18c,gutenberg_indexed_2026_07,Project Gutenberg,work,3,French originals only,,"French philosopher, novelist, and Encyclopédie editor; Jacques the Fatalist, Rameau's Nephew; radical architect of Enlightenment dialogue","dialogic, subversive, quicksilver, intellectually theatrical"
E. Phillips Oppenheim,literary,en,19c_20c,gutenberg_indexed_2026_07,Project Gutenberg,work,3,original English prose,,"English thriller novelist; The Great Impersonation, The Mystery of Mr. Sabin; prolific shaper of modern espionage fiction","continental, cloak-and-cipher, champagne-smooth, plot-hungry"
Edgar Rice Burroughs,literary,en,20c,gutenberg_indexed_2026_07,Project Gutenberg,work,3,original English prose,,"American adventure novelist; Tarzan of the Apes, the Barsoom series; world-building pioneer of planetary romance","pulp-kinetic, mythic, jungle-charged, world-spawning"
Edmond About,literary,fr,19c,gutenberg_indexed_2026_07,Project Gutenberg,work,3,French originals only,,"French novelist and journalist; The King of the Mountains, The Man with the Broken Ear; satirist of Second Empire society","buoyant, skeptical, boulevard-clever, clockwork-farcical"
Eduardo Zamacois,literary,es,19c_20c,gutenberg_indexed_2026_07,Project Gutenberg,work,3,Spanish originals only,,"Spanish-Cuban novelist and journalist; La enferma, El seductor; prolific anatomist of desire and metropolitan life","sensual, urban-nocturnal, psychologically restless, confessional"
Elizabeth von Arnim,literary,en,19c_20c,gutenberg_indexed_2026_07,Project Gutenberg,work,3,original English prose,,"Australian-born British novelist; Elizabeth and Her German Garden, The Enchanted April; emancipatory comedy of gardens and marriage","sun-dappled, slyly emancipatory, garden-fresh, socially nimble"
Emilio Salgari,literary,it,19c_20c,gutenberg_indexed_2026_07,Project Gutenberg,work,3,Italian originals only,,"Italian adventure novelist; the Sandokan cycle, The Black Corsair; popular master of maritime and exotic romance","salt-sprayed, swashbuckling, feverishly exotic, cliff-edge"
Federico De Roberto,literary,it,19c_20c,gutenberg_indexed_2026_07,Project Gutenberg,work,3,Italian originals only,,"Italian novelist; The Viceroys, L'Illusione; major Verismo analyst of aristocratic power","dynastic, caustic, politically microscopic, disillusioned"
Frank Norris,literary,en,19c_20c,gutenberg_indexed_2026_07,Project Gutenberg,work,3,original English prose,,"American naturalist novelist; McTeague, The Octopus; epic critic of appetite, capital, and monopoly","muscular, deterministic, appetite-driven, brutally panoramic"
Frank R. Stockton,literary,en,19c,gutenberg_indexed_2026_07,Project Gutenberg,work,3,original English prose,,"American novelist and short-story writer; The Lady or the Tiger?, The Casting Away of Mrs. Lecks and Mrs. Aleshine; master of whimsical irresolution","deadpan-fanciful, puzzle-boxed, genial, ending-averse"
Friedrich Schiller,literary,de,18c_19c,gutenberg_indexed_2026_07,Project Gutenberg,work,3,German originals only,,"German dramatist, poet, and philosopher; The Robbers, William Tell; central voice of Weimar Classicism and political freedom","liberty-thundered, idealist, rhetorically volcanic, tragic-heroic"
Gene Stratton-Porter,literary,en,19c_20c,gutenberg_indexed_2026_07,Project Gutenberg,work,3,original English prose,,"American novelist, naturalist, and conservationist; Freckles, A Girl of the Limberlost; wetlands storyteller and early nature advocate","marsh-luminous, tender, restorative, field-guide vivid"
George Gissing,literary,en,19c,gutenberg_indexed_2026_07,Project Gutenberg,work,3,original English prose,,"English novelist; New Grub Street, The Odd Women; exacting realist of poverty, gender, and literary labor","soot-gray, intellectually austere, class-conscious, quietly desperate"
George Meredith,literary,en,19c,gutenberg_indexed_2026_07,Project Gutenberg,work,3,original English prose,,"English novelist and poet; The Egoist, Diana of the Crossways; innovator of psychological comedy and social analysis","aphoristic, high-wire, psychologically prismatic, comic-acerbic"
Gertrude Atherton,literary,en,19c_20c,gutenberg_indexed_2026_07,Project Gutenberg,work,3,original English prose,,"American novelist; Black Oxen, Rezanov; cosmopolitan chronicler of California history and female ambition","cosmopolitan, imperious, historically lush, ambition-lit"
Giovanni Pascoli,literary,it,19c_20c,gutenberg_indexed_2026_07,Project Gutenberg,work,3,Italian originals only,,"Italian poet and classicist; Myricae, Canti di Castelvecchio; transformative lyricist of memory, nature, and humble things","nest-intimate, onomatopoeic, twilight-rural, grief-dappled"
Giuseppe Giacosa,literary,it,19c_20c,gutenberg_indexed_2026_07,Project Gutenberg,work,3,Italian originals only,,"Italian playwright and librettist; Come le foglie, libretti for La bohème and Tosca; craftsman of bourgeois and operatic drama","stage-sure, emotionally economical, bourgeois-melancholic, operatic"
Gotthold Ephraim Lessing,literary,de,18c,gutenberg_indexed_2026_07,Project Gutenberg,work,3,German originals only,,"German dramatist and critic; Nathan the Wise, Laocoön; Enlightenment champion of tolerance and modern dramaturgy","lucid, disputatious, tolerance-minded, dramatically rational"
Gustav Freytag,literary,de,19c,gutenberg_indexed_2026_07,Project Gutenberg,work,3,German originals only,,"German novelist and playwright; Debit and Credit, The Journalists; influential theorist of dramatic structure","bourgeois, architectonic, civic, ledger-precise"
Gustav Meyrink,literary,de,19c_20c,gutenberg_indexed_2026_07,Project Gutenberg,work,3,German originals only,,"Austrian novelist and occultist; The Golem, Walpurgis Night; visionary of haunted Prague and esoteric transformation","kabbalistic, grotesque, fever-dreaming, Prague-shadowed"
H. Rider Haggard,literary,en,19c_20c,gutenberg_indexed_2026_07,Project Gutenberg,work,3,original English prose,,"English adventure novelist; King Solomon's Mines, She; foundational creator of lost-world romance","expeditionary, imperial-gothic, relic-strewn, breathlessly mythic"
Hamlin Garland,literary,en,19c_20c,gutenberg_indexed_2026_07,Project Gutenberg,work,3,original English prose,,"American novelist and essayist; Main-Travelled Roads, Rose of Dutcher's Coolly; realist witness to Midwestern farm life","prairie-stark, labor-conscious, plainspoken, dust-grained"
Harold Frederic,literary,en,19c,gutenberg_indexed_2026_07,Project Gutenberg,work,3,original English prose,,"American novelist and journalist; The Damnation of Theron Ware, In the Valley; psychological critic of faith and provincial power","probing, anticlerical, upstate-gothic, morally destabilizing"
Heinrich Mann,literary,de,20c,gutenberg_indexed_2026_07,Project Gutenberg,work,3,German originals only,,"German novelist and essayist; Professor Unrat, The Loyal Subject; anti-authoritarian anatomist of Wilhelmine society","satirical, anti-authoritarian, socially corrosive, cabaret-sharp"
Heinrich von Kleist,literary,de,18c_19c,gutenberg_indexed_2026_07,Project Gutenberg,work,3,German originals only,,"German dramatist and novella writer; The Prince of Homburg, Michael Kohlhaas; radical explorer of law, violence, and unstable knowledge","compressed, catastrophic, juridically tense, lightning-struck"
Hermann Sudermann,literary,de,19c_20c,gutenberg_indexed_2026_07,Project Gutenberg,work,3,German originals only,,"German dramatist and novelist; Honour, The Song of Songs; naturalist interpreter of class and sexual convention","stage-driven, socially fevered, naturalistic, scandal-aware"
Israel Zangwill,literary,en,19c_20c,gutenberg_indexed_2026_07,Project Gutenberg,work,3,original English prose,,"British Jewish novelist and playwright; Children of the Ghetto, The Melting Pot; chronicler of diaspora, assimilation, and urban plurality","polyphonic, ghetto-vivid, comic-polemical, assimilation-conscious"
Jakob Wassermann,literary,de,19c_20c,gutenberg_indexed_2026_07,Project Gutenberg,work,3,German originals only,,"German-Jewish novelist; The Maurizius Case, Caspar Hauser; psychological investigator of justice and social exclusion","judicial, inward-burrowing, conscience-heavy, suspenseful"
Jean Lorrain,literary,fr,19c_20c,gutenberg_indexed_2026_07,Project Gutenberg,work,3,French originals only,,"French novelist, poet, and journalist; Monsieur de Phocas, Stories of Masks; notorious observer of fin-de-siècle decadence","perfumed, mask-haunted, venomous, jewel-dark"
Jerome K. Jerome,literary,en,19c_20c,gutenberg_indexed_2026_07,Project Gutenberg,work,3,original English prose,,"English humorist; Three Men in a Boat, Idle Thoughts of an Idle Fellow; enduring master of conversational comic digression","club-room casual, digressive, self-mocking, river-breezy"
John Buchan,literary,en,20c,gutenberg_indexed_2026_07,Project Gutenberg,work,3,original English prose,,"Scottish novelist, statesman, and Governor General of Canada; The Thirty-Nine Steps, Greenmantle; architect of the modern pursuit thriller","fleet-footed, geopolitical, moorland-brisk, code-of-honor"
Joris-Karl Huysmans,literary,fr,19c_20c,gutenberg_indexed_2026_07,Project Gutenberg,work,3,French originals only,,"French novelist and art critic; Against Nature, Là-bas; decadent stylist whose work turned toward Catholic mysticism","saturated, claustrophobic, incense-heavy, exquisitely disgusted"
Jose Maria de Pereda,literary,es,19c,gutenberg_indexed_2026_07,Project Gutenberg,work,3,Spanish originals only,,"Spanish novelist; Sotileza, Peñas arriba; leading realist of Cantabrian coastal and mountain life","Cantabrian, customary, sea-weathered, conservative-realist"
Joseph Sheridan Le Fanu,literary,en,19c,gutenberg_indexed_2026_07,Project Gutenberg,work,3,original English prose,,"Irish Gothic writer; Carmilla, Uncle Silas; foundational master of psychological and supernatural dread","candlelit, insinuating, vampiric, manor-bound"
Jules Barbey d'Aurevilly,literary,fr,19c,gutenberg_indexed_2026_07,Project Gutenberg,work,3,French originals only,,"French novelist and critic; The She-Devils, The Bewitched; Catholic dandy of transgression and provincial legend","baroque, satanic-Catholic, dandyish, blood-red"
Karl May,literary,de,19c_20c,gutenberg_indexed_2026_07,Project Gutenberg,work,3,German originals only,,"German adventure novelist; Winnetou, The Treasure of Silver Lake; exceptionally influential creator of imagined frontier travel","campfire-epic, idealistic, frontier-fantastical, companionship-driven"
Ludwig Ganghofer,literary,de,19c_20c,gutenberg_indexed_2026_07,Project Gutenberg,work,3,German originals only,,"German novelist and playwright; Das Schweigen im Walde, Der Klosterjäger; popular master of the Alpine Heimatroman","alpine, folkloric, briskly sentimental, landscape-led"
Ludwig Tieck,literary,de,18c_19c,gutenberg_indexed_2026_07,Project Gutenberg,work,3,German originals only,,"German writer and translator; Fair-Haired Eckbert, Puss in Boots; formative voice of early German Romanticism","romantic-ironic, fairy-shadowed, self-reflexive, woodland-strange"
Luigi Capuana,literary,it,19c_20c,gutenberg_indexed_2026_07,Project Gutenberg,work,3,Italian originals only,,"Italian novelist and critic; The Marquis of Roccaverdina, Giacinta; principal theorist and practitioner of Verismo","clinical, Sicilian, experimental-realist, conscience-eroding"
Marcel Schwob,literary,fr,19c,gutenberg_indexed_2026_07,Project Gutenberg,work,3,French originals only,,"French symbolist writer and scholar; Imaginary Lives, The Book of Monelle; inventor of erudite biographical miniature","miniaturist, symbolist, erudite, ghost-gemmed"
Margaret Oliphant,literary,en,19c,gutenberg_indexed_2026_07,Project Gutenberg,work,3,original English prose,,"Scottish novelist and critic; Chronicles of Carlingford, Hester; prolific analyst of domestic authority and provincial society","domestic-panoramic, shrewd, clerical-town observant, quietly feminist"
Marie Corelli,literary,en,19c_20c,gutenberg_indexed_2026_07,Project Gutenberg,work,3,original English prose,,"English bestselling novelist; The Sorrows of Satan, A Romance of Two Worlds; sensational fusion of spirituality, romance, and social critique","occult-populist, sumptuous, sermon-flushed, sensation-driven"
Marie von Ebner-Eschenbach,literary,de,19c_20c,gutenberg_indexed_2026_07,Project Gutenberg,work,3,German originals only,,"Austrian novelist and dramatist; Božena, Krambambuli; major psychological realist of ethics and social hierarchy","humane, Moravian, ethically exact, quietly devastating"
Mary E. Wilkins Freeman,literary,en,19c_20c,gutenberg_indexed_2026_07,Project Gutenberg,work,3,original English prose,,"American novelist and short-story writer; A New England Nun, Pembroke; incisive regionalist of autonomy and constraint","spare, granite-willed, domestic-gothic, New England taut"
Mary Roberts Rinehart,literary,en,20c,gutenberg_indexed_2026_07,Project Gutenberg,work,3,original English prose,,"American mystery novelist and playwright; The Circular Staircase, The Bat; popularizer of the had-I-but-known mystery","housebound-suspenseful, brisk, secret-passage clever, ominously retrospective"
Matilde Serao,literary,it,19c_20c,gutenberg_indexed_2026_07,Project Gutenberg,work,3,Italian originals only,,"Greek-born Italian novelist and journalist; The Belly of Naples, The Land of Cockayne; co-founder of Il Mattino and chronicler of urban poverty","Neapolitan, crowded, journalistic, compassionately unsparing"
Miguel de Cervantes,literary,es,16c_17c,gutenberg_indexed_2026_07,Project Gutenberg,work,3,Spanish originals only,,"Spanish novelist, playwright, and poet; Don Quixote, Exemplary Novels; foundational innovator of the modern novel","polyphonic, self-questioning, comic-chivalric, tenderly disenchanted"
O. Henry,literary,en,19c_20c,gutenberg_indexed_2026_07,Project Gutenberg,work,3,original English prose,,"American short-story writer; The Four Million, The Gift of the Magi; celebrated miniaturist of city life and reversal endings","streetwise, warmhearted, twist-loaded, pocket-watch precise"
Octave Feuillet,literary,fr,19c,gutenberg_indexed_2026_07,Project Gutenberg,work,3,French originals only,,"French novelist, playwright, and Académie française member; The Romance of a Poor Young Man, Monsieur de Camors; moral anatomist of elite society","salon-polished, moralizing, romantic, class-attentive"
Octave Mirbeau,literary,fr,19c_20c,gutenberg_indexed_2026_07,Project Gutenberg,work,3,French originals only,,"French novelist, critic, and anarchist journalist; The Torture Garden, The Diary of a Chambermaid; fierce exposer of bourgeois cruelty","anarchic, corrosive, grotesquely lucid, cruelty-facing"
Owen Wister,literary,en,19c_20c,gutenberg_indexed_2026_07,Project Gutenberg,work,3,original English prose,,"American novelist; The Virginian, Lady Baltimore; formative architect of the literary Western","frontier-courtly, laconic, honor-bound, sagebrush-romantic"
Paul Bourget,literary,fr,19c_20c,gutenberg_indexed_2026_07,Project Gutenberg,work,3,French originals only,,"French novelist and critic; The Disciple, A Cruel Enigma; psychological moralist of belief and social influence","analytic, conservative, conscience-clinical, salon-intense"
Paul Heyse,literary,de,19c_20c,gutenberg_indexed_2026_07,Project Gutenberg,work,3,German originals only,,"German novelist, poet, and 1910 Nobel laureate; L'Arrabbiata, Children of the World; cosmopolitan craftsman of the novella","Mediterranean-clear, formally poised, humanist, novella-polished"
Pierre Loti,literary,fr,19c_20c,gutenberg_indexed_2026_07,Project Gutenberg,work,3,French originals only,,"French naval officer and novelist; Aziyadé, An Iceland Fisherman; influential writer of travel, impermanence, and distant desire","salt-melancholic, exoticist, impressionistic, departure-haunted"
R. Austin Freeman,literary,en,20c,gutenberg_indexed_2026_07,Project Gutenberg,work,3,original English prose,,"British physician and detective writer; The Red Thumb Mark, The Eye of Osiris; inventor of the inverted detective story","forensic, methodical, laboratory-cool, evidentially patient"
R. D. Blackmore,literary,en,19c,gutenberg_indexed_2026_07,Project Gutenberg,work,3,original English prose,,"English novelist; Lorna Doone, Springhaven; Victorian master of historical romance and rural landscape","pastoral, river-deep, antiquarian, romance-burnished"
Ricarda Huch,literary,de,19c_20c,gutenberg_indexed_2026_07,Project Gutenberg,work,3,German originals only,,"German historian, novelist, and poet; The Great War in Germany, Memories of Ludolf Ursleu the Younger; pioneering woman of German intellectual life","historically capacious, romantic-scholarly, republican, austere"
Richard Harding Davis,literary,en,19c_20c,gutenberg_indexed_2026_07,Project Gutenberg,work,3,original English prose,,"American journalist and fiction writer; Soldiers of Fortune, the Van Bibber stories; influential war correspondent and cosmopolitan storyteller","dispatch-fast, cosmopolitan, masculine-romantic, eyewitness crisp"
Robert W. Chambers,literary,en,19c_20c,gutenberg_indexed_2026_07,Project Gutenberg,work,3,original English prose,,"American artist and novelist; The King in Yellow, Cardigan; bridge between weird fiction and historical romance","yellow-lit, decadent, uncanny, romance-sweeping"
Salvatore Farina,literary,it,19c_20c,gutenberg_indexed_2026_07,Project Gutenberg,work,3,Italian originals only,,"Italian novelist and journalist; Il tesoro di Donnina, Mio figlio studia; popular observer of bourgeois affection and domestic comedy","affable, domestic, gently ironic, feuilleton-fluid"
Samuel Butler,literary,en,19c_20c,gutenberg_indexed_2026_07,Project Gutenberg,work,3,original English prose,,"English novelist and critic; Erewhon, The Way of All Flesh; iconoclastic satirist of family, religion, and progress","iconoclastic, evolutionary, dryly paradoxical, anti-Victorian"
Sarah Orne Jewett,literary,en,19c,gutenberg_indexed_2026_07,Project Gutenberg,work,3,original English prose,,"American novelist and short-story writer; The Country of the Pointed Firs, Deephaven; defining voice of Maine regionalism","coastal, listening, community-woven, salt-air delicate"
Sax Rohmer,literary,en,20c,gutenberg_indexed_2026_07,Project Gutenberg,work,3,original English prose,,"English thriller novelist; the Fu Manchu series, Brood of the Witch-Queen; influential and now critically contested architect of pulp menace","pulp-exoticist, conspiratorial, fogbound, serial-cliffhanging"
Sibilla Aleramo,literary,it,19c_20c,gutenberg_indexed_2026_07,Project Gutenberg,work,3,Italian originals only,,"Italian feminist writer; A Woman, Il passaggio; landmark autobiographical voice of female self-determination","confessional, insurgent, self-forging, emotionally incandescent"
Silvio Pellico,literary,it,19c,gutenberg_indexed_2026_07,Project Gutenberg,work,3,Italian originals only,,"Italian writer and patriot; My Prisons, Francesca da Rimini; influential moral witness of the Risorgimento","prison-clear, devout, patriotic, stoically intimate"
Stanley J. Weyman,literary,en,19c_20c,gutenberg_indexed_2026_07,Project Gutenberg,work,3,original English prose,,"English historical novelist; A Gentleman of France, The Red Cockade; specialist in intrigue-driven European romance","rapier-paced, court-intricate, gallant, cloak-swirling"
Stephen Leacock,literary,en,20c,gutenberg_indexed_2026_07,Project Gutenberg,work,3,original English prose,,"Canadian humorist and economist; Sunshine Sketches of a Little Town, Literary Lapses; master of civic absurdity and mock solemnity","mock-solemn, small-town, deadpan, economically absurd"
Villiers de l'Isle-Adam,literary,fr,19c,gutenberg_indexed_2026_07,Project Gutenberg,work,3,French originals only,,"French symbolist writer; Cruel Tales, Axël; metaphysical satirist of machinery, illusion, and absolute desire","symbolist, metallic, metaphysical, cruelly iridescent"
Vittorio Alfieri,literary,it,18c,gutenberg_indexed_2026_07,Project Gutenberg,work,3,Italian originals only,,"Italian dramatist and poet; Saul, Mirra; republican tragedian of tyranny and ungovernable will","austere, tyrant-defying, declamatory, volcanic"
Voltaire,literary,fr,18c,gutenberg_indexed_2026_07,Project Gutenberg,work,3,French originals only,,"French Enlightenment writer and philosopher; Candide, Philosophical Letters; global emblem of satire, toleration, and civil liberty","razor-bright, anti-dogmatic, epigrammatic, mercilessly buoyant"
W. W. Jacobs,literary,en,19c_20c,gutenberg_indexed_2026_07,Project Gutenberg,work,3,original English prose,,"English short-story writer; The Monkey's Paw, Many Cargoes; distinctive mixer of dockside comedy and supernatural dread","dockside, dry, yarn-spun, suddenly macabre"
